"game_string","year","game_date","away_team_level","away_team","home_team_level","home_team"
"y1_d061_VKA_PHD","y1","d061",7,"VKA",7,"PHD"
"y1_d062_VKA_PHD","y1","d062",7,"VKA",7,"PHD"
"y1_d063_VKA_PHD","y1","d063",7,"VKA",7,"PHD"
"y1_d064_VKA_PHD","y1","d064",7,"VKA",7,"PHD"
"y1_d065_VAS_PHD","y1","d065",7,"VAS",7,"PHD"
"y1_d066_VAS_PHD","y1","d066",7,"VAS",7,"PHD"
"y1_d067.5_NLG_ANI","y1","d067.5",7,"NLG",7,"ANI"
"y1_d068_SQF_ARN","y1","d068",7,"SQF",7,"ARN"
"y1_d069_SQF_ARN","y1","d069",7,"SQF",7,"ARN"
"y1_d070_SQF_ARN","y1","d070",7,"SQF",7,"ARN"
"y1_d071_SQF_ARN","y1","d071",7,"SQF",7,"ARN"
"y1_d072_XPO_PHD","y1","d072",7,"XPO",7,"PHD"
"y1_d072_URD_ARN","y1","d072",7,"URD",7,"ARN"
"y1_d073_XPO_PHD","y1","d073",7,"XPO",7,"PHD"
"y1_d074_XPO_PHD","y1","d074",7,"XPO",7,"PHD"
"y1_d074_AIP_ARN","y1","d074",7,"AIP",7,"ARN"
"y1_d074.5_AIP_ARN","y1","d074.5",7,"AIP",7,"ARN"
"y1_d075_XPO_PHD","y1","d075",7,"XPO",7,"PHD"
"y1_d077_PHD_VAS","y1","d077",7,"PHD",7,"VAS"
"y1_d077.5_PHD_VAS","y1","d077.5",7,"PHD",7,"VAS"
"y1_d078_PHD_VAS","y1","d078",7,"PHD",7,"VAS"
"y1_d080_JJP_PHD","y1","d080",7,"JJP",7,"PHD"
"y1_d081_JJP_PHD","y1","d081",7,"JJP",7,"PHD"
"y1_d082_JJP_PHD","y1","d082",7,"JJP",7,"PHD"
"y1_d083_RYU_PHD","y1","d083",7,"RYU",7,"PHD"
"y1_d083_NXS_ARN","y1","d083",7,"NXS",7,"ARN"
"y1_d084_RYU_PHD","y1","d084",7,"RYU",7,"PHD"
"y1_d084_NXS_ARN","y1","d084",7,"NXS",7,"ARN"
"y1_d084_NXS_ARN","y1","d084",7,"NXS",7,"ARN"
"y1_d085_RYU_PHD","y1","d085",7,"RYU",7,"PHD"
"y1_d086_OSW_VAS","y1","d086",7,"OSW",7,"VAS"
"y1_d086_ZGC_ARN","y1","d086",7,"ZGC",7,"ARN"
"y1_d087_OSW_VAS","y1","d087",7,"OSW",7,"VAS"
"y1_d087_ZGC_ARN","y1","d087",7,"ZGC",7,"ARN"
"y1_d088_OSW_VAS","y1","d088",7,"OSW",7,"VAS"
"y1_d088_ZGC_ARN","y1","d088",7,"ZGC",7,"ARN"
"y1_d089_PHD_VAS","y1","d089",7,"PHD",7,"VAS"
"y1_d089_ZGC_ARN","y1","d089",7,"ZGC",7,"ARN"
"y1_d090_PHD_VAS","y1","d090",7,"PHD",7,"VAS"
"y1_d091_PHD_VAS","y1","d091",7,"PHD",7,"VAS"
"y1_d092_PHD_VAS","y1","d092",7,"PHD",7,"VAS"
"y1_d093_PHD_VAS","y1","d093",7,"PHD",7,"VAS"
"y1_d094_NFP_PHD","y1","d094",7,"NFP",7,"PHD"
"y1_d094_WLI_ARN","y1","d094",7,"WLI",7,"ARN"
"y1_d095_NFP_PHD","y1","d095",7,"NFP",7,"PHD"
"y1_d095_WLI_ARN","y1","d095",7,"WLI",7,"ARN"
"y1_d096_NFP_PHD","y1","d096",7,"NFP",7,"PHD"
"y1_d096_WLI_ARN","y1","d096",7,"WLI",7,"ARN"
"y1_d097_CYU_PHD","y1","d097",7,"CYU",7,"PHD"
"y1_d097_NYN_ARN","y1","d097",7,"NYN",7,"ARN"
"y1_d098_CYU_PHD","y1","d098",7,"CYU",7,"PHD"
"y1_d098_NYN_ARN","y1","d098",7,"NYN",7,"ARN"
"y1_d099_CYU_PHD","y1","d099",7,"CYU",7,"PHD"
"y1_d101_WTH_VAS","y1","d101",7,"WTH",7,"VAS"
"y1_d102_WTH_VAS","y1","d102",7,"WTH",7,"VAS"
"y1_d103_WTH_VAS","y1","d103",7,"WTH",7,"VAS"
"y1_d104_MSN_VAS","y1","d104",7,"MSN",7,"VAS"
"y1_d104.5_FSD_ARN","y1","d104.5",7,"FSD",7,"ARN"
"y1_d105_MSN_VAS","y1","d105",7,"MSN",7,"VAS"
"y1_d105_OER_ANI","y1","d105",7,"OER",7,"ANI"
"y1_d105.5_OER_ANI","y1","d105.5",7,"OER",7,"ANI"
"y1_d106_MSN_VAS","y1","d106",7,"MSN",7,"VAS"
"y1_d106_OER_ANI","y1","d106",7,"OER",7,"ANI"
"y1_d106.5_OER_ANI","y1","d106.5",7,"OER",7,"ANI"
"y1_d107_OER_ANI","y1","d107",7,"OER",7,"ANI"
